1754,2800,1
3080,3690,2
5299,5400,3
6063,6220,3
6838,6948,4
7314,7680,4
7700,8233,5
8345,8446,6
11472,12510,5
12602,12845,7
15442,16200,8
16337,16654,6
92560,92670,9
93452,93826,10
93988,94186,7
102756,102994,11
103092,103900,12
103444,103675,8
104106,104337,13
116206,116651,14
116766,117013,9
117020,117794,15
118016,118023,16
118027,118030,10
118032,118032,17
119921,120134,18
120596,120818,11
127438,127596,19
128648,128863,20
129143,129247,12
132918,133560,21
133628,133901,22
133938,133978,13
134383,134437,23
141159,141290,24
143012,143756,14
143881,144139,25
186701,186936,26
187572,187795,15
198357,199601,27
199978,200225,28
202801,202867,16
227963,228145,29
228638,228800,30
230385,230442,17
231861,232090,31
264041,264296,32
280030,281371,18
302739,302963,33
303301,303428,34
347829,348241,19
348618,348798,35
349017,349250,36
349725,349937,20
361822,361993,37
363662,363763,38
371605,371813,21
371906,372113,39
372455,372579,40
389638,390273,22
390536,390793,41
436575,437159,42
437305,437771,23
438113,438660,43
438267,438583,44
438665,438989,24
439210,439455,45
444307,445219,46
445454,445684,25
